Kode Item	Nama Item	Jenis	Konversi	Satuan	Harga Pokok	Harga Retail	Harga Grosir
8992727002554	BIORE BRIGHT WS 400ML(1X24)	REFIL/SBN MNDI	24.00	DUS	453,600	442,500	0
8992727007894	BIORE FLORA SPA 400ML	REFIL/SBN MNDI	1.00	PCS	17,900	21,500	19,000
8992727007894	BIORE FLORA SPA 400ML	REFIL/SBN MNDI	24.00	DUS	429,600	442,500	0
8992727005012	BIORE GUARD COOL 400ML(1X24)	REFIL/SBN MNDI	1.00	PCS	17,900	23,000	20,250
8992727005012	BIORE GUARD COOL 400ML(1X24)	REFIL/SBN MNDI	24.00	DUS	429,600	467,500	0
8992727003889	BIORE GUARD RFL 400ml(1X24)	REFIL/SBN MNDI	1.00	PCS	17,900	23,000	20,250
8992727003889	BIORE GUARD RFL 400ml(1X24)	REFIL/SBN MNDI	24.00	DUS	429,600	442,500	0
8992727001700	BIORE PURE MILD 400ML(1X24)	REFIL/SBN MNDI	1.00	PCS	18,900	23,000	20,250
8992727001700	BIORE PURE MILD 400ML(1X24)	REFIL/SBN MNDI	24.00	DUS	453,600	442,500	0
8992727002592	BIORE RELAXING ARO 400ML(1X24)	REFIL/SBN MNDI	1.00	PCS	17,900	21,500	19,000
8992727002592	BIORE RELAXING ARO 400ML(1X24)	REFIL/SBN MNDI	24.00	DUS	429,600	442,500	0
8992727004121	BIORE RFL CLR FRSH 400ml(1X24)	REFIL/SBN MNDI	1.00	PCS	17,900	21,500	19,000
8992727004121	BIORE RFL CLR FRSH 400ml(1X24)	REFIL/SBN MNDI	24.00	DUS	429,600	442,500	0
7622202047169	BISKUAT BITE CH 18G(1X12X10)	MKAN	1.00	PCS	1,701	2,000	0
7622202047169	BISKUAT BITE CH 18G(1X12X10)	MKAN	10.00	PAK	17,005	20,000	18,500
7622202047169	BISKUAT BITE CH 18G(1X12X10)	MKAN	120.00	DUS	204,062	210,500	0
7622202047138	BISKUAT BITE VN 18G(1X12X10)	MKAN	1.00	PCS	1,701	2,000	0
7622202047138	BISKUAT BITE VN 18G(1X12X10)	MKAN	10.00	PAK	17,005	20,000	18,500
